	nombre	descriptivo	principal
381	pacto_de_exclusividad	1.0	1.0
382	pacto_de_no_competencia	1.0	1.0
383	pacto_de_no_pedir	1.0	0.0
384	pacto_de_permanencia	1.0	0.0
385	paga_extraordinaria	1.0	0.0
386	pago_fraccionado	1.0	1.0
387	pago_indebido	1.0	0.0
388	salario_en_especie	1.0	1.0
389	principio_de_igualdad_entre_los_acreedores	1.0	0.0
390	pared_medianera	1.0	0.0
391	pareja_de_hecho	1.0	1.0
392	accion_de_particion_de_la_herencia	1.0	1.0
393	partida_de_defuncion	1.0	0.0
394	paso_de_peatones	1.0	0.0
395	patrimonio_empresarial	1.0	0.0
396	patrimonio_municipal_del_suelo	1.0	0.0
397	patrimonio	1.0	0.0
398	patrocinio	1.0	0.0
399	peaton	1.0	0.0
400	pension_de_alimentos	1.0	1.0
401	pension_de_orfandad	1.0	1.0
402	perdida_patrimonial	1.0	1.0
403	peligro_de_mora_procesal	1.0	0.0
404	periodo_de_garantia	1.0	0.0
405	perjuicio_estetico	1.0	0.0
406	permiso_de_residencia	1.0	1.0
407	permiso_de_trabajo	1.0	0.0
408	plan_general_de_ordenacion_urbana	1.0	1.0
409	producto_interior_bruto	1.0	0.0
410	material_pirotecnico	1.0	0.0
411	plazo_de_alegaciones	1.0	0.0
412	plus_peticion	1.0	0.0
413	producto_nacional_bruto	1.0	0.0
414	poder_para_pleitos	1.0	0.0
415	poder_de_representacion	1.0	0.0
416	seguro_de_vida	1.0	0.0
417	porcentaje	0.0	0.0
418	plan_de_ordenacion_de_recursos_naturales	0.0	0.0
419	justiprecio	1.0	1.0
420	precio_vil	1.0	0.0
421	jubilacion_anticipada	1.0	1.0
422	prelacion_de_creditos	1.0	1.0
423	prestaciones_indebidas	1.0	0.0
424	contrato_de_prestamo_participativo	1.0	0.0
425	primera_ocupacion	1.0	0.0
426	principio_de_proporcionalidad	1.0	1.0
427	principio_de_buena_fe_y_confianza_legitima	1.0	1.0
428	non_bis_in_idem	1.0	1.0
429	procedimiento_de_expulsion	1.0	0.0
430	procedimiento_sancionador	0.0	0.0
431	procedimiento_urgente	0.0	0.0
432	actuacion_inspectora	1.0	0.0
433	programa_de_actuacion_integrada	1.0	1.0
434	programa_de_actuacion_urbanistica	1.0	0.0
435	pro_indiviso	1.0	0.0
436	proteccion_de_datos	1.0	1.0
437	prueba_ilicita	1.0	0.0
438	prueba_pericial	1.0	0.0
439	prueba_testifical	1.0	0.0
440	pyme	1.0	0.0
441	quebrantamiento_de_condena	1.0	1.0
442	quebrantamiento_de_medida	1.0	0.0
443	real_academia_española	0.0	0.0
444	registro_de_morosos	1.0	0.0
445	calificacion_de_credito	1.0	1.0
446	ley_de_consumidores	0.0	0.0
447	reagrupacion_familiar	1.0	1.0
448	ley_de_procedimiento_laboral	0.0	0.0
449	clausula_rebus_sic_stantibus	1.0	1.0
450	reconvencion_implicita	1.0	0.0
451	rectificacion_de_error	1.0	1.0
452	recurso_de_aclaracion	0.0	0.0
453	reduccion	1.0	0.0
454	regimen_de_gananciales	1.0	1.0
455	regimen_especial_de_la_seguridad_social_de_los_trabajadores_del_mar	1.0	1.0
456	regimen_penitenciario	1.0	0.0
457	regularizacion_fiscal	1.0	0.0
458	renfe	0.0	0.0
459	renta_vitalicia	1.0	1.0
460	distribucion_de_beneficios	1.0	0.0
461	reparto_de_dividendos	1.0	1.0
462	representante_de_comercio	1.0	0.0
463	reproduccion_asistida	1.0	0.0
464	requerimiento	1.0	0.0
465	responsabilidad_civil_derivada_del_delito	1.0	0.0
466	responsabilidad_extracontractual	1.0	1.0
467	reparacion_especifica_o_in_natura	1.0	0.0
468	regimen_especial_de_trabajadores_autonomos	1.0	0.0
469	retracto_de_colindantes	1.0	0.0
470	retracto_de_comuneros	1.0	1.0
471	ropa_de_trabajo	1.0	0.0
472	reglamento_del_planeamiento_urbanistico	0.0	0.0
473	diligencia_de_reconocimiento_en_rueda	1.0	1.0
474	sociedad_anonima_deportiva	1.0	0.0
475	sancion_pecuniaria	1.0	0.0
476	sancion_tributaria	1.0	1.0
477	sociedad_agraria_de_transformacion	1.0	1.0
478	secretario_judicial	1.0	0.0
479	secreto_empresarial	1.0	0.0
480	secreto_de_sumario	1.0	0.0
481	segunda_vivienda	1.0	0.0
482	seguro_colectivo	1.0	1.0
483	seguro_de_accidentes	1.0	1.0
484	seguro_de_credito	1.0	1.0
485	seguro_de_daños	1.0	1.0
486	seguro_decenal	1.0	0.0
487	seguro_medico	1.0	1.0
488	contrato_de_seguro	1.0	1.0
489	servicio_de_prevencion	1.0	0.0
490	servicio_domestico	1.0	0.0
491	servicio_militar	1.0	0.0
492	servidumbre_de_luces_y_vistas	1.0	1.0
493	sexta_directiva_del_impuesto_sobre_el_valor_anadido	0.0	0.0
494	stock_options	1.0	0.0
495	sicav	1.0	0.0
496	silencio_negativo	1.0	0.0
497	silencio_positivo	1.0	1.0
498	falta_de_provocacion_suficiente	1.0	0.0
499	sindrome_de_desgaste_personal	1.0	0.0
500	baja_medica	1.0	0.0
501	sociedad_de_responsabilidad_limitada_laboral	1.0	0.0
502	sociedad_de_responsabilidad_limitada	1.0	0.0
503	sgae	0.0	0.0
504	sociedad_gestora	1.0	0.0
505	sociedad_inactiva	1.0	0.0
506	sociedad_municipal	1.0	0.0
507	sociedad_pantalla	1.0	0.0
508	sociedad_profesional	1.0	0.0
509	socio_administrador	1.0	0.0
510	servicio_publico_de_empleo	0.0	0.0
511	subarrendamiento	1.0	0.0
512	retribucion_salarial	1.0	0.0
513	suelo_dotacional	1.0	0.0
514	sujeto_pasivo	1.0	0.0
515	supresion_de_barreras_arquitectonicas	1.0	0.0
516	supresion	1.0	0.0
517	derecho_de_suscripcion_preferente	1.0	0.0
518	contrato_de_permuta_financiera	1.0	1.0
519	tantum_devolutum_quantum_apellatum	1.0	0.0
520	cesion_de_aprovechamiento_urbanistico	1.0	0.0
521	autotaxi	1.0	0.0
522	teac	0.0	0.0
523	tear	0.0	0.0
524	tercero_registral	1.0	1.0
525	tercio_de_mejora	1.0	0.0
526	territorio_historico	1.0	0.0
527	testamento_olografo	1.0	1.0
528	voluntad_anticipada	1.0	0.0
529	testigo_de_referencia	1.0	1.0
530	texto_refundido_de_la_ley_del_impuesto_sobre_sociedades	0.0	0.0
531	tgss	0.0	0.0
532	contrato_de_fletamento	1.0	0.0
533	tipo_de_interes_del_mercado_interbancario_europeo	1.0	0.0
534	titularidad_catastral	1.0	1.0
535	titularidad_registral	1.0	0.0
536	teoria_del_titulo_y_modo	1.0	0.0
537	tribunal_de_justicia_de_las_comunidades_europeas	0.0	0.0
538	trabajador_autonomo	1.0	1.0
539	transmision	1.0	0.0
540	transparencia_fiscal	1.0	1.0
541	tribunal_supremo	0.0	0.0
542	tsj	0.0	0.0
543	ugt	0.0	0.0
544	unesco	0.0	0.0
545	unicef	0.0	0.0
546	unidad_de_acto	1.0	0.0
547	unidad_empresarial	1.0	0.0
548	unidad_productiva	1.0	0.0
549	union_europea	0.0	0.0
550	derecho_de_uso_y_habitacion	1.0	0.0
551	usucapion	1.0	1.0
552	derecho_de_usufructo	1.0	1.0
553	union_temporal_de_empresas	1.0	1.0
554	utilizacion_ilegitima	1.0	0.0
555	valor_catastral	1.0	1.0
556	valor_contable	1.0	0.0
557	valor_de_adquisicion	1.0	1.0
558	valor_de_afeccion	1.0	0.0
559	visual_entidad_de_gestion_de_artistas_plasticos	0.0	0.0
560	compraventa_a_plazos	1.0	0.0
561	compraventa_de_acciones	1.0	1.0
562	free_alongside_ship	1.0	0.0
563	venta_ambulante	1.0	0.0
564	venta_judicial	1.0	0.0
